origin,destination,distance
"Fort Sumter National Monument, Sullivan's Island, SC","French Quarter, New Orleans, LA",1223403
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Yellowstone National Park, WY 82190",1152968
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",3143831
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Gateway Arch, Washington Avenue, St Louis, MO",1619422
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",553214
"Lost World Caverns, Lewisburg, WV","Craters of the Moon National Monument & Preserve, Arco, ID",3375573
"Statue of Liberty, Liberty Island, NYC, NY","Columbia River Gorge National Scenic Area, Oregon",4503584
"Terrace Hill, Grand Avenue, Des Moines, IA","Yellowstone National Park, WY 82190",1736070
"Hanford Site, Benton County, WA","Taliesin, County Road C, Spring Green, Wisconsin",2865645
"The Alamo, Alamo Plaza, San Antonio, TX","Ashfall Fossil Bed, Royal, NE",1582862
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Statue of Liberty, Liberty Island, NYC, NY",1993400
"Ashfall Fossil Bed, Royal, NE","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",957962
"San Andreas Fault, San Benito County, CA","The Alamo, Alamo Plaza, San Antonio, TX",2614335
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Wright Brothers National Memorial Visitor Center, Manteo, NC",2070353
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Acadia National Park, Maine",370453
"Lost World Caverns, Lewisburg, WV","Olympia Entertainment, Woodward Avenue, Detroit, MI",751740
"Toltec Mounds, Scott, AR","Mount Vernon, Fairfax County, Virginia",1628719
"Cape Canaveral, FL","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1787806
"Hanford Site, Benton County, WA","Craters of the Moon National Monument & Preserve, Arco, ID",804532
"Ashfall Fossil Bed, Royal, NE","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1348425
"Shelburne Farms, Harbor Road, Shelburne, VT","Olympia Entertainment, Woodward Avenue, Detroit, MI",1075881
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Statue of Liberty, Liberty Island, NYC, NY",2772422
"Lost World Caverns, Lewisburg, WV","Glacier National Park, West Glacier, MT",3442230
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Craters of the Moon National Monument & Preserve, Arco, ID",2830185
"Hoover Dam, NV","Shelburne Farms, Harbor Road, Shelburne, VT",4286375
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Taliesin, County Road C, Spring Green, Wisconsin",1461552
"Liberty Bell, 6th Street, Philadelphia, PA","Craters of the Moon National Monument & Preserve, Arco, ID",3705218
"Lost World Caverns, Lewisburg, WV","Fort Snelling, Tower Avenue, Saint Paul, MN",1626905
"Terrace Hill, Grand Avenue, Des Moines, IA","Statue of Liberty, Liberty Island, NYC, NY",1787020
"Hanford Site, Benton County, WA","Ashfall Fossil Bed, Royal, NE",2197917
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","White House, Pennsylvania Avenue Northwest, Washington, DC",809619
"Taliesin, County Road C, Spring Green, Wisconsin","Columbia River Gorge National Scenic Area, Oregon",3013796
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Statue of Liberty, Liberty Island, NYC, NY",192047
"Toltec Mounds, Scott, AR","French Quarter, New Orleans, LA",670161
"USS Constitution, Boston, MA","Acadia National Park, Maine",443026
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Columbia River Gorge National Scenic Area, Oregon",3571513
"San Andreas Fault, San Benito County, CA","Ashfall Fossil Bed, Royal, NE",2748296
"Toltec Mounds, Scott, AR","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",2503709
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Bryce Canyon National Park, Hwy 63, Bryce, UT",1828713
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Bryce Canyon National Park, Hwy 63, Bryce, UT",3890985
"Bryce Canyon National Park, Hwy 63, Bryce, UT","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",2651338
"Toltec Mounds, Scott, AR","Vicksburg National Military Park, Clay Street, Vicksburg, MS",342172
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",2168326
"Toltec Mounds, Scott, AR","Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086",612075
"Mount Vernon, Fairfax County, Virginia","Shelburne Farms, Harbor Road, Shelburne, VT",838747
"Cape Canaveral, FL","Congress Hall, Congress Place, Cape May, NJ 08204",1697361
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Bryce Canyon National Park, Hwy 63, Bryce, UT",3616879
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Statue of Liberty, Liberty Island, NYC, NY",346519
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Acadia National Park, Maine",1120643
"Liberty Bell, 6th Street, Philadelphia, PA","Carlsbad Caverns National Park, Carlsbad, NM",3152378
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Columbia River Gorge National Scenic Area, Oregon",4663563
"Toltec Mounds, Scott, AR","Cape Canaveral, FL",1567778
"White House, Pennsylvania Avenue Northwest, Washington, DC","The Alamo, Alamo Plaza, San Antonio, TX",2579805
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Bryce Canyon National Park, Hwy 63, Bryce, UT",2718623
"New Castle Historic District, Delaware","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1794302
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Fort Sumter National Monument, Sullivan's Island, SC",911048
"Pikes Peak, Colorado","Olympia Entertainment, Woodward Avenue, Detroit, MI",2190092
"Toltec Mounds, Scott, AR","Statue of Liberty, Liberty Island, NYC, NY",1983218
