origin,destination,distance
"Carlsbad Caverns National Park, Carlsbad, NM","Congress Hall, Congress Place, Cape May, NJ 08204",3232567
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Fort Snelling, Tower Avenue, Saint Paul, MN",1277557
"Terrace Hill, Grand Avenue, Des Moines, IA","Grand Canyon National Park, Arizona",2126579
"Taliesin, County Road C, Spring Green, Wisconsin","Fort Snelling, Tower Avenue, Saint Paul, MN",402693
"Craters of the Moon National Monument & Preserve, Arco, ID","Statue of Liberty, Liberty Island, NYC, NY",3754373
"Mount Vernon, Fairfax County, Virginia","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4551979
"Taliesin, County Road C, Spring Green, Wisconsin","Acadia National Park, Maine",2310920
"Shelburne Farms, Harbor Road, Shelburne, VT","Lost World Caverns, Lewisburg, WV",1199298
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Bryce Canyon National Park, Hwy 63, Bryce, UT",2490228
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",1105058
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Graceland, Elvis Presley Boulevard, Memphis, TN",2399554
"Shelburne Farms, Harbor Road, Shelburne, VT","Hanford Site, Benton County, WA",4564119
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Wright Brothers National Memorial Visitor Center, Manteo, NC",1136995
"Graceland, Elvis Presley Boulevard, Memphis, TN","Ashfall Fossil Bed, Royal, NE",1310105
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Fort Snelling, Tower Avenue, Saint Paul, MN",1667139
"Liberty Bell, 6th Street, Philadelphia, PA","Wright Brothers National Memorial Visitor Center, Manteo, NC",582053
"Liberty Bell, 6th Street, Philadelphia, PA","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1171045
"Pikes Peak, Colorado","Bryce Canyon National Park, Hwy 63, Bryce, UT",998488
"Terrace Hill, Grand Avenue, Des Moines, IA","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",1011679
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Taliesin, County Road C, Spring Green, Wisconsin",1208996
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Glacier National Park, West Glacier, MT",3369066
"Terrace Hill, Grand Avenue, Des Moines, IA","Acadia National Park, Maine",2529755
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Cape Canaveral, FL",2330047
"USS Alabama, Battleship Parkway, Mobile, AL","Ashfall Fossil Bed, Royal, NE",1889577
"Graceland, Elvis Presley Boulevard, Memphis, TN","Congress Hall, Congress Place, Cape May, NJ 08204",1717234
"The Alamo, Alamo Plaza, San Antonio, TX","Bryce Canyon National Park, Hwy 63, Bryce, UT",2013900
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Acadia National Park, Maine",597379
"Hoover Dam, NV","Terrace Hill, Grand Avenue, Des Moines, IA",2328938
"San Andreas Fault, San Benito County, CA","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",3397300
"Toltec Mounds, Scott, AR","White House, Pennsylvania Avenue Northwest, Washington, DC",1627313
"USS Alabama, Battleship Parkway, Mobile, AL","Glacier National Park, West Glacier, MT",3545115
"Shelburne Farms, Harbor Road, Shelburne, VT","Fort Sumter National Monument, Sullivan's Island, SC",1672509
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Fort Sumter National Monument, Sullivan's Island, SC",922894
"Liberty Bell, 6th Street, Philadelphia, PA","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",337338
"Carlsbad Caverns National Park, Carlsbad, NM","Statue of Liberty, Liberty Island, NYC, NY",3284729
"Graceland, Elvis Presley Boulevard, Memphis, TN","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",3375034
"Glacier National Park, West Glacier, MT","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",1852892
"Cape Canaveral, FL","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",377410
"The Alamo, Alamo Plaza, San Antonio, TX","Gateway Arch, Washington Avenue, St Louis, MO",1454861
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Mount Vernon, Fairfax County, Virginia",1776793
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Pikes Peak, Colorado",1138992
"White House, Pennsylvania Avenue Northwest, Washington, DC","French Quarter, New Orleans, LA",1743678
"The Breakers, Ochre Point Avenue, Newport, RI","Yellowstone National Park, WY 82190",3809631
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","The Breakers, Ochre Point Avenue, Newport, RI",1317092
"Carlsbad Caverns National Park, Carlsbad, NM","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1858566
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",848229
"Yellowstone National Park, WY 82190","The Alamo, Alamo Plaza, San Antonio, TX",2356077
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","San Andreas Fault, San Benito County, CA",2527020
"New Castle Historic District, Delaware","Gateway Arch, Washington Avenue, St Louis, MO",1440290
"French Quarter, New Orleans, LA","Grand Canyon National Park, Arizona",2486793
"Statue of Liberty, Liberty Island, NYC, NY","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1477357
"Hoover Dam, NV","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",3441584
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086",2265577
"Hanford Site, Benton County, WA","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",3072833
"Fort Sumter National Monument, Sullivan's Island, SC","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4455913
"Terrace Hill, Grand Avenue, Des Moines, IA","Gateway Arch, Washington Avenue, St Louis, MO",567564
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Lost World Caverns, Lewisburg, WV",1869023
"Pikes Peak, Colorado","The Alamo, Alamo Plaza, San Antonio, TX",1435151
"Graceland, Elvis Presley Boulevard, Memphis, TN","Vicksburg National Military Park, Clay Street, Vicksburg, MS",382413
"Liberty Bell, 6th Street, Philadelphia, PA","Hanford Site, Benton County, WA",4339013
"USS Alabama, Battleship Parkway, Mobile, AL","Fort Sumter National Monument, Sullivan's Island, SC",1002499
"Liberty Bell, 6th Street, Philadelphia, PA","Columbia River Gorge National Scenic Area, Oregon",4452738
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086",702803
"The Alamo, Alamo Plaza, San Antonio, TX","Columbia River Gorge National Scenic Area, Oregon",3174721
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",827545
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Columbia River Gorge National Scenic Area, Oregon",4743875
"Columbia River Gorge National Scenic Area, Oregon","Grand Canyon National Park, Arizona",1682141
"Terrace Hill, Grand Avenue, Des Moines, IA","Ashfall Fossil Bed, Royal, NE",460092
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Shelburne Farms, Harbor Road, Shelburne, VT",2658016
"Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4384469
"Craters of the Moon National Monument & Preserve, Arco, ID","Acadia National Park, Maine",4497107
"White House, Pennsylvania Avenue Northwest, Washington, DC","Fort Snelling, Tower Avenue, Saint Paul, MN",1778589
"Gateway Arch, Washington Avenue, St Louis, MO","Acadia National Park, Maine",2328971
"Toltec Mounds, Scott, AR","Gateway Arch, Washington Avenue, St Louis, MO",568157
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Yellowstone National Park, WY 82190",3764344
"San Andreas Fault, San Benito County, CA","The Breakers, Ochre Point Avenue, Newport, RI",5103126
"Gateway Arch, Washington Avenue, St Louis, MO","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",158520
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Yellowstone National Park, WY 82190",2591982
"Shelburne Farms, Harbor Road, Shelburne, VT","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",192042
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Fort Snelling, Tower Avenue, Saint Paul, MN",956302
"Liberty Bell, 6th Street, Philadelphia, PA","Fort Sumter National Monument, Sullivan's Island, SC",1077955
"Liberty Bell, 6th Street, Philadelphia, PA","Gateway Arch, Washington Avenue, St Louis, MO",1425131
"Yellowstone National Park, WY 82190","Acadia National Park, Maine",4264590
"New Castle Historic District, Delaware","Columbia River Gorge National Scenic Area, Oregon",4478003
"Congress Hall, Congress Place, Cape May, NJ 08204","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1311091
"Carlsbad Caverns National Park, Carlsbad, NM","Lost World Caverns, Lewisburg, WV",2627620
"Terrace Hill, Grand Avenue, Des Moines, IA","Carlsbad Caverns National Park, Carlsbad, NM",1775662
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Cape Canaveral, FL",3635791
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","French Quarter, New Orleans, LA",2529104
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Ashfall Fossil Bed, Royal, NE",1604535
"The Breakers, Ochre Point Avenue, Newport, RI","White House, Pennsylvania Avenue Northwest, Washington, DC",653295
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1901493
"Hoover Dam, NV","Craters of the Moon National Monument & Preserve, Arco, ID",1149083
"Toltec Mounds, Scott, AR","Grand Canyon National Park, Arizona",2072393
"Yellowstone National Park, WY 82190","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",3446653
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Toltec Mounds, Scott, AR",756195
"USS Alabama, Battleship Parkway, Mobile, AL","Vicksburg National Military Park, Clay Street, Vicksburg, MS",370688
"Liberty Bell, 6th Street, Philadelphia, PA","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",1233782
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Vicksburg National Military Park, Clay Street, Vicksburg, MS",2200235
"Hoover Dam, NV","Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND",2084706
"USS Alabama, Battleship Parkway, Mobile, AL","Wright Brothers National Memorial Visitor Center, Manteo, NC",1489642
"USS Alabama, Battleship Parkway, Mobile, AL","Grand Canyon National Park, Arizona",2615332
"Hoover Dam, NV","Wright Brothers National Memorial Visitor Center, Manteo, NC",4004005
"Graceland, Elvis Presley Boulevard, Memphis, TN","Fort Snelling, Tower Avenue, Saint Paul, MN",1288825
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1032820
"French Quarter, New Orleans, LA","Bryce Canyon National Park, Hwy 63, Bryce, UT",2723632
"Craters of the Moon National Monument & Preserve, Arco, ID","Columbia River Gorge National Scenic Area, Oregon",845463
"Carlsbad Caverns National Park, Carlsbad, NM","Taliesin, County Road C, Spring Green, Wisconsin",2204052
"Olympia Entertainment, Woodward Avenue, Detroit, MI","Ashfall Fossil Bed, Royal, NE",1419146
"The Alamo, Alamo Plaza, San Antonio, TX","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",2788838
"Maryland State House, 100 State Cir, Annapolis, MD 21401","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1103913
"White House, Pennsylvania Avenue Northwest, Washington, DC","Grand Canyon National Park, Arizona",3663661
"Yellowstone National Park, WY 82190","Gateway Arch, Washington Avenue, St Louis, MO",2149556
"Craters of the Moon National Monument & Preserve, Arco, ID","Ashfall Fossil Bed, Royal, NE",1480088
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","New Castle Historic District, Delaware",2958272
"Graceland, Elvis Presley Boulevard, Memphis, TN","Olympia Entertainment, Woodward Avenue, Detroit, MI",1204474
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",917186
"Liberty Bell, 6th Street, Philadelphia, PA","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1369812
"Taliesin, County Road C, Spring Green, Wisconsin","USS Constitution, Boston, MA",1881312
"Cape Canaveral, FL","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1250556
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Terrace Hill, Grand Avenue, Des Moines, IA",1038320
"Toltec Mounds, Scott, AR","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",2177479
"Bryce Canyon National Park, Hwy 63, Bryce, UT","Columbia River Gorge National Scenic Area, Oregon",1502684
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1085667
"Hoover Dam, NV","Yellowstone National Park, WY 82190",1260922
"White House, Pennsylvania Avenue Northwest, Washington, DC","Yellowstone National Park, WY 82190",3376611
"Lost World Caverns, Lewisburg, WV","Acadia National Park, Maine",1555610
"Liberty Bell, 6th Street, Philadelphia, PA","USS Constitution, Boston, MA",495038
"Terrace Hill, Grand Avenue, Des Moines, IA","USS Constitution, Boston, MA",2099559
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","White House, Pennsylvania Avenue Northwest, Washington, DC",2836410
"Graceland, Elvis Presley Boulevard, Memphis, TN","Taliesin, County Road C, Spring Green, Wisconsin",1107487
"Statue of Liberty, Liberty Island, NYC, NY","Acadia National Park, Maine",779355
"Olympia Entertainment, Woodward Avenue, Detroit, MI","Bryce Canyon National Park, Hwy 63, Bryce, UT",2939571
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Pikes Peak, Colorado",989094
"Cape Canaveral, FL","Fort Sumter National Monument, Sullivan's Island, SC",642615
"Lost World Caverns, Lewisburg, WV","Yellowstone National Park, WY 82190",3138421
"Hanford Site, Benton County, WA","San Andreas Fault, San Benito County, CA",1398524
"French Quarter, New Orleans, LA","Columbia River Gorge National Scenic Area, Oregon",3922705
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",2866081
"Carlsbad Caverns National Park, Carlsbad, NM","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",3711294
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Congress Hall, Congress Place, Cape May, NJ 08204",825912
"Graceland, Elvis Presley Boulevard, Memphis, TN","Statue of Liberty, Liberty Island, NYC, NY",1767750
"Mount Vernon, Fairfax County, Virginia","Yellowstone National Park, WY 82190",3398494
"Statue of Liberty, Liberty Island, NYC, NY","French Quarter, New Orleans, LA",2098917
"Carlsbad Caverns National Park, Carlsbad, NM","Bryce Canyon National Park, Hwy 63, Bryce, UT",1371003
"Hoover Dam, NV","Bryce Canyon National Park, Hwy 63, Bryce, UT",470908
"Carlsbad Caverns National Park, Carlsbad, NM","Acadia National Park, Maine",4029017
"USS Alabama, Battleship Parkway, Mobile, AL","Yellowstone National Park, WY 82190",3112156
"Lost World Caverns, Lewisburg, WV","Columbia River Gorge National Scenic Area, Oregon",4123092
"Carlsbad Caverns National Park, Carlsbad, NM","Cape Canaveral, FL",2624095
"Liberty Bell, 6th Street, Philadelphia, PA","Congress Hall, Congress Place, Cape May, NJ 08204",135319
"Toltec Mounds, Scott, AR","Acadia National Park, Maine",2768590
"Fort Sumter National Monument, Sullivan's Island, SC","Gateway Arch, Washington Avenue, St Louis, MO",1376724
"Fort Sumter National Monument, Sullivan's Island, SC","Grand Canyon National Park, Arizona",3346258
"Hoover Dam, NV","Columbia River Gorge National Scenic Area, Oregon",1586117
"New Castle Historic District, Delaware","Fort Sumter National Monument, Sullivan's Island, SC",1004882
"Lost World Caverns, Lewisburg, WV","Gateway Arch, Washington Avenue, St Louis, MO",991827
"Craters of the Moon National Monument & Preserve, Arco, ID","Grand Canyon National Park, Arizona",1092664
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Craters of the Moon National Monument & Preserve, Arco, ID",4003167
"Pikes Peak, Colorado","Fort Snelling, Tower Avenue, Saint Paul, MN",1621098
"Terrace Hill, Grand Avenue, Des Moines, IA","Craters of the Moon National Monument & Preserve, Arco, ID",1969397
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Yellowstone National Park, WY 82190",2747124
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","USS Constitution, Boston, MA",2773664
"Lost World Caverns, Lewisburg, WV","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",1353504
"Taliesin, County Road C, Spring Green, Wisconsin","Gateway Arch, Washington Avenue, St Louis, MO",640177
"Shelburne Farms, Harbor Road, Shelburne, VT","Fort Snelling, Tower Avenue, Saint Paul, MN",2108269
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1944125
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Lost World Caverns, Lewisburg, WV",1442759
"Carlsbad Caverns National Park, Carlsbad, NM","Olympia Entertainment, Woodward Avenue, Detroit, MI",2557663
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Olympia Entertainment, Woodward Avenue, Detroit, MI",1296121
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1700468
"Mount Vernon, Fairfax County, Virginia","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",571779
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Gateway Arch, Washington Avenue, St Louis, MO",847491
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4838236
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","San Andreas Fault, San Benito County, CA",2485901
"Hoover Dam, NV","French Quarter, New Orleans, LA",2725797
"Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL","Grand Canyon National Park, Arizona",2462148
"Hanford Site, Benton County, WA","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",4790512
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",524146
"Mount Vernon, Fairfax County, Virginia","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",956980
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Lost World Caverns, Lewisburg, WV",479163
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Ashfall Fossil Bed, Royal, NE",2531422
"Lost World Caverns, Lewisburg, WV","Cape Canaveral, FL",1230767
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Wright Brothers National Memorial Visitor Center, Manteo, NC",3283326
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",897371
"Graceland, Elvis Presley Boulevard, Memphis, TN","Carlsbad Caverns National Park, Carlsbad, NM",1530542
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Grand Canyon National Park, Arizona",2732563
"Hanford Site, Benton County, WA","Grand Canyon National Park, Arizona",1641209
"Lost World Caverns, Lewisburg, WV","Wright Brothers National Memorial Visitor Center, Manteo, NC",630856
"The Breakers, Ochre Point Avenue, Newport, RI","Fort Sumter National Monument, Sullivan's Island, SC",1509644
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Ashfall Fossil Bed, Royal, NE",2139243
"Lost World Caverns, Lewisburg, WV","Bryce Canyon National Park, Hwy 63, Bryce, UT",3263699
"USS Alabama, Battleship Parkway, Mobile, AL","Liberty Bell, 6th Street, Philadelphia, PA",1783560
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Ashfall Fossil Bed, Royal, NE",1048083
"Fort Sumter National Monument, Sullivan's Island, SC","Glacier National Park, West Glacier, MT",3936065
"USS Constitution, Boston, MA","Fort Snelling, Tower Avenue, Saint Paul, MN",2236960
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1166316
"New Castle Historic District, Delaware","Ashfall Fossil Bed, Royal, NE",2222494
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Glacier National Park, West Glacier, MT",788472
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Ashfall Fossil Bed, Royal, NE",2408053
"USS Alabama, Battleship Parkway, Mobile, AL","Acadia National Park, Maine",2697479
"San Andreas Fault, San Benito County, CA","Taliesin, County Road C, Spring Green, Wisconsin",3458781
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1749501
"Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA","Grand Canyon National Park, Arizona",3274814
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","USS Constitution, Boston, MA",3083351
"Toltec Mounds, Scott, AR","Yellowstone National Park, WY 82190",2419546
"Congress Hall, Congress Place, Cape May, NJ 08204","Gateway Arch, Washington Avenue, St Louis, MO",1573547
"Maryland State House, 100 State Cir, Annapolis, MD 21401","San Andreas Fault, San Benito County, CA",4594279
"San Andreas Fault, San Benito County, CA","Statue of Liberty, Liberty Island, NYC, NY",4774120
"Pikes Peak, Colorado","Yellowstone National Park, WY 82190",1010111
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Mount Vernon, Fairfax County, Virginia",2656789
"Statue of Liberty, Liberty Island, NYC, NY","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1480247
"San Andreas Fault, San Benito County, CA","Craters of the Moon National Monument & Preserve, Arco, ID",1361109
"The Alamo, Alamo Plaza, San Antonio, TX","Grand Canyon National Park, Arizona",1780052
"Wright Brothers National Memorial Visitor Center, Manteo, NC","The Alamo, Alamo Plaza, San Antonio, TX",2548833
"Columbia River Gorge National Scenic Area, Oregon","Ashfall Fossil Bed, Royal, NE",2359209
"Bryce Canyon National Park, Hwy 63, Bryce, UT","Glacier National Park, West Glacier, MT",1475714
"The Alamo, Alamo Plaza, San Antonio, TX","French Quarter, New Orleans, LA",875710
"Craters of the Moon National Monument & Preserve, Arco, ID","Pikes Peak, Colorado",1310714
"San Andreas Fault, San Benito County, CA","Olympia Entertainment, Woodward Avenue, Detroit, MI",3989459
"Graceland, Elvis Presley Boulevard, Memphis, TN","Craters of the Moon National Monument & Preserve, Arco, ID",2718789
"Fort Sumter National Monument, Sullivan's Island, SC","Bryce Canyon National Park, Hwy 63, Bryce, UT",3649551
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Bryce Canyon National Park, Hwy 63, Bryce, UT",1801093
"Toltec Mounds, Scott, AR","The Breakers, Ochre Point Avenue, Newport, RI",2273878
"The Breakers, Ochre Point Avenue, Newport, RI","Craters of the Moon National Monument & Preserve, Arco, ID",4042971
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Vicksburg National Military Park, Clay Street, Vicksburg, MS",2575996
"Liberty Bell, 6th Street, Philadelphia, PA","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",722539
"Carlsbad Caverns National Park, Carlsbad, NM","Gateway Arch, Washington Avenue, St Louis, MO",1705580
"Yellowstone National Park, WY 82190","Olympia Entertainment, Woodward Avenue, Detroit, MI",2695125
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1761665
"Terrace Hill, Grand Avenue, Des Moines, IA","Wright Brothers National Memorial Visitor Center, Manteo, NC",2072573
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","French Quarter, New Orleans, LA",331934
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Craters of the Moon National Monument & Preserve, Arco, ID",4157603
"Shelburne Farms, Harbor Road, Shelburne, VT","Ashfall Fossil Bed, Royal, NE",2420015
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Cape Canaveral, FL",2130718
"Hoover Dam, NV","New Castle Historic District, Delaware",3984959
"Cape Canaveral, FL","Yellowstone National Park, WY 82190",3827870
"Cape Canaveral, FL","Grand Canyon National Park, Arizona",3497485
"Graceland, Elvis Presley Boulevard, Memphis, TN","Glacier National Park, West Glacier, MT",2982190
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1553662
"Hanford Site, Benton County, WA","Lost World Caverns, Lewisburg, WV",4081860
"Olympia Entertainment, Woodward Avenue, Detroit, MI","Glacier National Park, West Glacier, MT",2895149
"Olympia Entertainment, Woodward Avenue, Detroit, MI","Acadia National Park, Maine",1587595
"Shelburne Farms, Harbor Road, Shelburne, VT","The Alamo, Alamo Plaza, San Antonio, TX",3222592
"Hoover Dam, NV","Fort Snelling, Tower Avenue, Saint Paul, MN",2719740
"Cape Canaveral, FL","Gateway Arch, Washington Avenue, St Louis, MO",1684309
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Taliesin, County Road C, Spring Green, Wisconsin",760692
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Hanford Site, Benton County, WA",1586051
"Shelburne Farms, Harbor Road, Shelburne, VT","White House, Pennsylvania Avenue Northwest, Washington, DC",815727
"Toltec Mounds, Scott, AR","Fort Sumter National Monument, Sullivan's Island, SC",1309910
"Shelburne Farms, Harbor Road, Shelburne, VT","San Andreas Fault, San Benito County, CA",4988674
"Craters of the Moon National Monument & Preserve, Arco, ID","New Castle Historic District, Delaware",3799076
"Shelburne Farms, Harbor Road, Shelburne, VT","Columbia River Gorge National Scenic Area, Oregon",4676038
"French Quarter, New Orleans, LA","Ashfall Fossil Bed, Royal, NE",1916780
"The Breakers, Ochre Point Avenue, Newport, RI","Olympia Entertainment, Woodward Avenue, Detroit, MI",1201574
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",1271563
"Mount Vernon, Fairfax County, Virginia","Ashfall Fossil Bed, Royal, NE",2121840
"Taliesin, County Road C, Spring Green, Wisconsin","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1485999
"Ashfall Fossil Bed, Royal, NE","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",2609776
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Congress Hall, Congress Place, Cape May, NJ 08204",440711
"The Breakers, Ochre Point Avenue, Newport, RI","Grand Canyon National Park, Arizona",4129628
"Shelburne Farms, Harbor Road, Shelburne, VT","Glacier National Park, West Glacier, MT",3923595
"Carlsbad Caverns National Park, Carlsbad, NM","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1374729
"Pikes Peak, Colorado","Grand Canyon National Park, Arizona",973994
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Pikes Peak, Colorado",3006046
